order_id,customer_name,food_item,category,branch_location,payment_method,order_status,quantity,price,order_date,delivery_date,total_amount
ORD52,Ana,Steak,Fried,Manila,Cash,Completed,3,481.0067159,2024-02-22T00:00:00,2024-02-23T00:00:00,1443.020148
ORD53,Jose,Steak,Fast Food,Manila,GCash,Completed,3,401.8147664,2024-02-23T00:00:00,2024-02-24T00:00:00,1205.444299
ORD54,Pedro,Burger,Fried,Manila,GCash,Completed,3,278.1811719,2024-02-24T00:00:00,2024-02-25T00:00:00,834.5435157
ORD55,Juan,Chicken,Fried,Cavite,Cash,Pending,3,336.8885597,2024-02-25T00:00:00,2024-02-26T00:00:00,1010.665679
ORD56,Ana,BBQ,Fried,Cavite,Card,Completed,3,380.374146,2024-02-26T00:00:00,2024-02-27T00:00:00,1141.122438
ORD57,Maria,Pork,Fast Food,Laguna,Cash,Completed,4,177.7094284,2024-02-27T00:00:00,2024-02-28T00:00:00,710.8377136
ORD58,Ana,BBQ,Fried,Cavite,Card,Cancelled,1,278.8804129,2024-02-28T00:00:00,2024-02-29T00:00:00,278.8804129
ORD59,Maria,Burger,Fried,Cavite,Cash,Completed,1,431.9285059,2024-02-29T00:00:00,2024-03-01T00:00:00,431.9285059
ORD60,Maria,Steak,Grilled,Manila,Card,Completed,3,361.8901394,2024-03-01T00:00:00,2024-03-02T00:00:00,1085.670418
ORD61,Ana,Steak,Fast Food,Manila,Cash,Pending,4,264.4816269,2024-03-02T00:00:00,2024-03-03T00:00:00,1057.926508
ORD62,Jose,Pork,Fried,Manila,Card,Pending,2,365.3450136,2024-03-03T00:00:00,2024-03-04T00:00:00,730.6900272
ORD63,Maria,Steak,Fast Food,Manila,Cash,Cancelled,2,147.2889648,2024-03-04T00:00:00,2024-03-05T00:00:00,294.5779297
ORD64,Maria,Steak,Fried,Manila,Cash,Completed,4,260.5990442,2024-03-05T00:00:00,2024-03-06T00:00:00,1042.396177
ORD65,Ana,Pork,Fried,Manila,Card,Cancelled,3,417.2514152,2024-03-06T00:00:00,2024-03-07T00:00:00,1251.754246
ORD66,Maria,Pork,Fried,Manila,GCash,Pending,1,188.2035149,2024-03-07T00:00:00,2024-03-08T00:00:00,188.2035149
ORD67,Maria,Burger,Grilled,Laguna,Card,Cancelled,4,174.384603,2024-03-08T00:00:00,2024-03-09T00:00:00,697.5384121
ORD68,Ana,Steak,Grilled,Laguna,GCash,Pending,2,480.327464,2024-03-09T00:00:00,2024-03-10T00:00:00,960.6549279
ORD69,Ana,Steak,Grilled,Laguna,Cash,Cancelled,2,183.9590518,2024-03-10T00:00:00,2024-03-11T00:00:00,367.9181037
ORD70,Juan,Burger,Fast Food,Laguna,Card,Cancelled,2,204.3674319,2024-03-11T00:00:00,2024-03-12T00:00:00,408.7348637
ORD71,Jose,Chicken,Fast Food,Manila,Card,Completed,3,487.8463756,2024-03-12T00:00:00,2024-03-13T00:00:00,1463.539127
ORD72,Jose,Chicken,Grilled,Laguna,Card,Cancelled,2,393.8834281,2024-03-13T00:00:00,2024-03-14T00:00:00,787.7668562
ORD73,Maria,Chicken,Fast Food,Manila,GCash,Completed,4,379.8386132,2024-03-14T00:00:00,2024-03-15T00:00:00,1519.354453
ORD74,Jose,Burger,Fried,Laguna,GCash,Completed,4,441.1705535,2024-03-15T00:00:00,2024-03-16T00:00:00,1764.682214
ORD75,Maria,Steak,Fried,Cavite,Cash,Completed,2,146.3292329,2024-03-16T00:00:00,2024-03-17T00:00:00,292.6584658
ORD76,Juan,Burger,Fried,Laguna,GCash,Completed,4,382.3824946,2024-03-17T00:00:00,2024-03-18T00:00:00,1529.529979
ORD77,Ana,Burger,Grilled,Laguna,GCash,Cancelled,2,301.4754437,2024-03-18T00:00:00,2024-03-19T00:00:00,602.9508875
ORD78,Ana,Chicken,Fast Food,Manila,Cash,Pending,2,431.6602561,2024-03-19T00:00:00,2024-03-20T00:00:00,863.3205122
ORD79,Ana,BBQ,Grilled,Laguna,Card,Pending,1,303.2566875,2024-03-20T00:00:00,2024-03-21T00:00:00,303.2566875
ORD80,Jose,Steak,Fast Food,Cavite,Card,Pending,3,348.0965417,2024-03-21T00:00:00,2024-03-22T00:00:00,1044.289625
ORD81,Juan,Chicken,Fried,Manila,Cash,Cancelled,3,291.0968506,2024-03-22T00:00:00,2024-03-23T00:00:00,873.2905517
ORD82,Jose,BBQ,Grilled,Manila,Card,Completed,1,291.2635694,2024-03-23T00:00:00,2024-03-24T00:00:00,291.2635694
ORD83,Jose,BBQ,Fast Food,Laguna,GCash,Pending,1,407.1879912,2024-03-24T00:00:00,2024-03-25T00:00:00,407.1879912
ORD84,Juan,Pork,Fast Food,Manila,Cash,Cancelled,3,351.4265603,2024-03-25T00:00:00,2024-03-26T00:00:00,1054.279681
ORD85,Juan,Steak,Fried,Manila,Cash,Completed,2,353.3052806,2024-03-26T00:00:00,2024-03-27T00:00:00,706.6105613
ORD86,Juan,BBQ,Grilled,Manila,Cash,Pending,2,280.1129935,2024-03-27T00:00:00,2024-03-28T00:00:00,560.2259871
ORD87,Juan,Chicken,Grilled,Manila,Card,Completed,3,312.4437985,2024-03-28T00:00:00,2024-03-29T00:00:00,937.3313956
ORD88,Ana,Pork,Grilled,Manila,Cash,Pending,2,398.2870665,2024-03-29T00:00:00,2024-03-30T00:00:00,796.574133
ORD89,Pedro,Steak,Fried,Manila,Cash,Pending,1,430.3763676,2024-03-30T00:00:00,2024-03-31T00:00:00,430.3763676
ORD90,Pedro,Burger,Grilled,Cavite,Cash,Pending,2,378.6245609,2024-03-31T00:00:00,2024-04-01T00:00:00,757.2491217
ORD91,Juan,Chicken,Fried,Laguna,Card,Completed,2,469.6291955,2024-04-01T00:00:00,2024-04-02T00:00:00,939.2583911
ORD92,Pedro,BBQ,Fried,Cavite,GCash,Cancelled,4,428.1296353,2024-04-02T00:00:00,2024-04-03T00:00:00,1712.518541
ORD93,Pedro,BBQ,Fried,Manila,Cash,Completed,4,324.7455159,2024-04-03T00:00:00,2024-04-04T00:00:00,1298.982064
ORD94,Juan,Chicken,Fast Food,Manila,GCash,Pending,4,368.5624291,2024-04-04T00:00:00,2024-04-05T00:00:00,1474.249716
ORD95,Pedro,BBQ,Grilled,Laguna,Card,Completed,2,470.5233108,2024-04-05T00:00:00,2024-04-06T00:00:00,941.0466215
ORD96,Jose,Pork,Grilled,Cavite,Card,Cancelled,3,347.6672177,2024-04-06T00:00:00,2024-04-07T00:00:00,1043.001653
ORD97,Maria,Steak,Fried,Laguna,Card,Completed,1,429.9227792,2024-04-07T00:00:00,2024-04-08T00:00:00,429.9227792
ORD98,Maria,Pork,Fried,Cavite,Card,Cancelled,2,375.5242014,2024-04-08T00:00:00,2024-04-09T00:00:00,751.0484029
ORD99,Juan,BBQ,Grilled,Manila,GCash,Cancelled,3,320.7745444,2024-04-09T00:00:00,2024-04-10T00:00:00,962.3236333
ORD100,Ana,Burger,Fried,Laguna,Cash,Completed,2,196.7352782,2024-04-10T00:00:00,2024-04-11T00:00:00,393.4705563
ORD101,Juan,Steak,Grilled,Laguna,Card,Pending,1,270.3990078,2024-04-11T00:00:00,2024-04-12T00:00:00,270.3990078
ORD102,Ana,Steak,Fast Food,Manila,Card,Cancelled,2,487.0971299,2024-04-12T00:00:00,2024-04-13T00:00:00,974.1942599
ORD103,Maria,Chicken,Fried,Laguna,GCash,Completed,1,363.1061533,2024-04-13T00:00:00,2024-04-14T00:00:00,363.1061533
ORD104,Juan,Chicken,Grilled,Cavite,GCash,Cancelled,2,325.7581521,2024-04-14T00:00:00,2024-04-15T00:00:00,651.5163043
ORD105,Jose,Burger,Fried,Cavite,Card,Pending,1,473.1826502,2024-04-15T00:00:00,2024-04-16T00:00:00,473.1826502
ORD106,Pedro,Steak,Grilled,Cavite,Cash,Completed,2,334.6047124,2024-04-16T00:00:00,2024-04-17T00:00:00,669.2094248
ORD107,Ana,Burger,Grilled,Cavite,Cash,Completed,1,310.4330074,2024-04-17T00:00:00,2024-04-18T00:00:00,310.4330074
ORD108,Pedro,Chicken,Fried,Manila,Card,Completed,4,403.7243421,2024-04-18T00:00:00,2024-04-19T00:00:00,1614.897368
ORD109,Pedro,Chicken,Fast Food,Laguna,GCash,Pending,2,385.0662476,2024-04-19T00:00:00,2024-04-20T00:00:00,770.1324952
ORD110,Juan,Steak,Grilled,Cavite,Card,Cancelled,2,177.2640034,2024-04-20T00:00:00,2024-04-21T00:00:00,354.5280067
ORD111,Pedro,Pork,Grilled,Manila,Card,Completed,3,288.5233098,2024-04-21T00:00:00,2024-04-22T00:00:00,865.5699295
ORD112,Jose,BBQ,Grilled,Laguna,GCash,Cancelled,3,289.0061771,2024-04-22T00:00:00,2024-04-23T00:00:00,867.0185314
ORD113,Pedro,Chicken,Fast Food,Laguna,Card,Cancelled,1,251.2898061,2024-04-23T00:00:00,2024-04-24T00:00:00,251.2898061
ORD114,Juan,Chicken,Fast Food,Manila,Card,Pending,2,306.9173929,2024-04-24T00:00:00,2024-04-25T00:00:00,613.8347857
ORD115,Jose,Pork,Fried,Manila,Card,Completed,1,265.2429591,2024-04-25T00:00:00,2024-04-26T00:00:00,265.2429591
ORD116,Maria,Pork,Fast Food,Cavite,GCash,Cancelled,4,179.7381958,2024-04-26T00:00:00,2024-04-27T00:00:00,718.9527832
ORD117,Pedro,Burger,Fried,Laguna,Cash,Completed,3,264.9465949,2024-04-27T00:00:00,2024-04-28T00:00:00,794.8397847
ORD118,Juan,Burger,Fried,Laguna,Cash,Completed,1,128.910779,2024-04-28T00:00:00,2024-04-29T00:00:00,128.910779
ORD119,Maria,BBQ,Fast Food,Manila,GCash,Pending,1,330.3143451,2024-04-29T00:00:00,2024-04-30T00:00:00,330.3143451
ORD120,Maria,BBQ,Fried,Laguna,Cash,Completed,3,441.4618196,2024-04-30T00:00:00,2024-05-01T00:00:00,1324.385459
ORD121,Ana,Steak,Fast Food,Cavite,Card,Completed,2,390.1148337,2024-05-01T00:00:00,2024-05-02T00:00:00,780.2296675
ORD122,Jose,Burger,Fried,Laguna,Cash,Cancelled,1,244.157616,2024-05-02T00:00:00,2024-05-03T00:00:00,244.157616
ORD123,Pedro,Chicken,Fast Food,Manila,Card,Pending,3,134.8284822,2024-05-03T00:00:00,2024-05-04T00:00:00,404.4854467
ORD124,Juan,Burger,Fast Food,Manila,Cash,Completed,2,180.8597597,2024-05-04T00:00:00,2024-05-05T00:00:00,361.7195194
ORD125,Ana,Chicken,Fried,Cavite,GCash,Cancelled,4,318.1961362,2024-05-05T00:00:00,2024-05-06T00:00:00,1272.784545
ORD126,Jose,Pork,Grilled,Cavite,Cash,Pending,3,182.8228334,2024-05-06T00:00:00,2024-05-07T00:00:00,548.4685001
ORD127,Ana,Burger,Fried,Laguna,Cash,Pending,1,317.5892445,2024-05-07T00:00:00,2024-05-08T00:00:00,317.5892445
ORD128,Jose,Pork,Fast Food,Laguna,Cash,Cancelled,4,192.6396099,2024-05-08T00:00:00,2024-05-09T00:00:00,770.5584396
ORD129,Jose,BBQ,Grilled,Manila,GCash,Cancelled,2,439.5695478,2024-05-09T00:00:00,2024-05-10T00:00:00,879.1390956
ORD130,Pedro,BBQ,Fried,Cavite,Cash,Cancelled,2,258.9085891,2024-05-10T00:00:00,2024-05-11T00:00:00,517.8171783
ORD131,Jose,Steak,Fried,Cavite,GCash,Cancelled,3,198.2202504,2024-05-11T00:00:00,2024-05-12T00:00:00,594.6607511
ORD132,Ana,Burger,Fried,Cavite,Card,Cancelled,3,424.9304721,2024-05-12T00:00:00,2024-05-13T00:00:00,1274.791416
ORD133,Jose,Pork,Grilled,Laguna,Cash,Completed,3,237.1355859,2024-05-13T00:00:00,2024-05-14T00:00:00,711.4067578
ORD134,Pedro,Chicken,Fast Food,Cavite,GCash,Completed,2,144.5950751,2024-05-14T00:00:00,2024-05-15T00:00:00,289.1901503
ORD135,Pedro,BBQ,Fried,Manila,GCash,Pending,4,328.1637966,2024-05-15T00:00:00,2024-05-16T00:00:00,1312.655186
ORD136,Ana,BBQ,Fried,Manila,Cash,Completed,2,332.6256818,2024-05-16T00:00:00,2024-05-17T00:00:00,665.2513636
ORD137,Maria,Chicken,Fried,Laguna,Card,Completed,1,385.8782701,2024-05-17T00:00:00,2024-05-18T00:00:00,385.8782701
ORD138,Maria,Pork,Fried,Laguna,GCash,Completed,2,196.0877733,2024-05-18T00:00:00,2024-05-19T00:00:00,392.1755466
ORD139,Jose,Pork,Fried,Cavite,Cash,Cancelled,1,277.5085356,2024-05-19T00:00:00,2024-05-20T00:00:00,277.5085356
ORD140,Juan,Burger,Fast Food,Laguna,Card,Pending,4,212.9471676,2024-05-20T00:00:00,2024-05-21T00:00:00,851.7886705
ORD141,Jose,Burger,Fast Food,Manila,GCash,Pending,3,132.3814944,2024-05-21T00:00:00,2024-05-22T00:00:00,397.1444833
ORD142,Ana,Steak,Fried,Cavite,GCash,Pending,3,450.6455308,2024-05-22T00:00:00,2024-05-23T00:00:00,1351.936592
ORD143,Ana,BBQ,Grilled,Manila,Card,Pending,2,391.5479218,2024-05-23T00:00:00,2024-05-24T00:00:00,783.0958436
ORD144,Ana,Burger,Fast Food,Cavite,Card,Completed,3,220.5852238,2024-05-24T00:00:00,2024-05-25T00:00:00,661.7556714
ORD145,Ana,Pork,Grilled,Laguna,Cash,Completed,4,339.7491971,2024-05-25T00:00:00,2024-05-26T00:00:00,1358.996789
ORD146,Ana,Chicken,Fast Food,Cavite,Cash,Cancelled,3,180.5055153,2024-05-26T00:00:00,2024-05-27T00:00:00,541.5165458
ORD147,Pedro,Pork,Fried,Cavite,GCash,Pending,2,456.0946487,2024-05-27T00:00:00,2024-05-28T00:00:00,912.1892974
ORD148,Maria,BBQ,Fast Food,Manila,Card,Completed,4,145.9625373,2024-05-28T00:00:00,2024-05-29T00:00:00,583.8501494
ORD149,Ana,Pork,Fried,Manila,Card,Completed,1,101.5348582,2024-05-29T00:00:00,2024-05-30T00:00:00,101.5348582
ORD150,Juan,Steak,Fast Food,Cavite,Card,Cancelled,2,300.8032791,2024-05-30T00:00:00,2024-05-31T00:00:00,601.6065582
ORD151,Juan,BBQ,Fried,Laguna,GCash,Cancelled,1,333.2511294,2024-05-31T00:00:00,2024-06-01T00:00:00,333.2511294
ORD152,Juan,Chicken,Fried,Laguna,Card,Cancelled,4,331.5861281,2024-06-01T00:00:00,2024-06-02T00:00:00,1326.344512
ORD153,Juan,Steak,Fried,Manila,Card,Completed,2,121.804771,2024-06-02T00:00:00,2024-06-03T00:00:00,243.609542
ORD154,Pedro,BBQ,Fried,Laguna,GCash,Completed,2,225.6175228,2024-06-03T00:00:00,2024-06-04T00:00:00,451.2350455
ORD155,Juan,Chicken,Grilled,Manila,Cash,Cancelled,4,299.6795787,2024-06-04T00:00:00,2024-06-05T00:00:00,1198.718315
ORD156,Ana,Steak,Fried,Laguna,Cash,Pending,3,186.6316743,2024-06-05T00:00:00,2024-06-06T00:00:00,559.8950228
ORD157,Jose,Steak,Grilled,Cavite,GCash,Cancelled,2,449.0503542,2024-06-06T00:00:00,2024-06-07T00:00:00,898.1007084
ORD158,Juan,BBQ,Grilled,Manila,Card,Cancelled,2,134.8437158,2024-06-07T00:00:00,2024-06-08T00:00:00,269.6874316
ORD159,Pedro,Burger,Fried,Manila,GCash,Cancelled,1,294.9537767,2024-06-08T00:00:00,2024-06-09T00:00:00,294.9537767
ORD160,Pedro,Steak,Grilled,Cavite,Cash,Cancelled,3,376.566423,2024-06-09T00:00:00,2024-06-10T00:00:00,1129.699269
ORD161,Juan,Steak,Fast Food,Manila,Cash,Completed,1,204.7004401,2024-06-10T00:00:00,2024-06-11T00:00:00,204.7004401
ORD162,Jose,Chicken,Fried,Laguna,GCash,Pending,1,349.6962948,2024-06-11T00:00:00,2024-06-12T00:00:00,349.6962948
ORD163,Juan,Pork,Grilled,Laguna,GCash,Cancelled,3,431.7540601,2024-06-12T00:00:00,2024-06-13T00:00:00,1295.26218
ORD164,Pedro,BBQ,Fried,Manila,Cash,Pending,3,176.13479,2024-06-13T00:00:00,2024-06-14T00:00:00,528.4043701
ORD165,Maria,BBQ,Fried,Laguna,GCash,Pending,4,466.8882367,2024-06-14T00:00:00,2024-06-15T00:00:00,1867.552947
ORD166,Ana,Burger,Fried,Manila,Cash,Pending,3,321.4234131,2024-06-15T00:00:00,2024-06-16T00:00:00,964.2702392
ORD167,Pedro,Burger,Grilled,Cavite,GCash,Cancelled,2,219.6928017,2024-06-16T00:00:00,2024-06-17T00:00:00,439.3856034
ORD168,Juan,BBQ,Fast Food,Manila,GCash,Completed,3,272.3433102,2024-06-17T00:00:00,2024-06-18T00:00:00,817.0299305
ORD169,Ana,Burger,Fast Food,Cavite,GCash,Cancelled,4,224.8767535,2024-06-18T00:00:00,2024-06-19T00:00:00,899.5070141
ORD170,Juan,Chicken,Grilled,Laguna,Cash,Pending,4,390.044464,2024-06-19T00:00:00,2024-06-20T00:00:00,1560.177856
ORD171,Juan,BBQ,Fried,Cavite,GCash,Pending,4,418.5202654,2024-06-20T00:00:00,2024-06-21T00:00:00,1674.081061
ORD172,Maria,Burger,Grilled,Laguna,Cash,Completed,3,433.1749569,2024-06-21T00:00:00,2024-06-22T00:00:00,1299.524871
ORD173,Ana,BBQ,Grilled,Manila,Cash,Cancelled,3,494.3072998,2024-06-22T00:00:00,2024-06-23T00:00:00,1482.9219
ORD174,Ana,Pork,Grilled,Laguna,GCash,Pending,1,416.513717,2024-06-23T00:00:00,2024-06-24T00:00:00,416.513717
ORD175,Maria,Steak,Fried,Manila,GCash,Completed,1,340.5536283,2024-06-24T00:00:00,2024-06-25T00:00:00,340.5536283
ORD176,Pedro,BBQ,Grilled,Manila,Cash,Pending,2,235.6881194,2024-06-25T00:00:00,2024-06-26T00:00:00,471.3762387
ORD177,Juan,Steak,Fried,Cavite,Cash,Completed,1,317.8381795,2024-06-26T00:00:00,2024-06-27T00:00:00,317.8381795
ORD178,Jose,Burger,Grilled,Cavite,Card,Completed,2,116.4272691,2024-06-27T00:00:00,2024-06-28T00:00:00,232.8545382
ORD179,Juan,Steak,Fast Food,Cavite,Cash,Cancelled,4,397.9300302,2024-06-28T00:00:00,2024-06-29T00:00:00,1591.720121
ORD180,Juan,BBQ,Grilled,Cavite,Card,Pending,1,278.382218,2024-06-29T00:00:00,2024-06-30T00:00:00,278.382218
ORD181,Pedro,Pork,Grilled,Laguna,Card,Cancelled,3,108.0092919,2024-06-30T00:00:00,2024-07-01T00:00:00,324.0278757
ORD182,Juan,Burger,Fast Food,Laguna,Card,Pending,1,125.0027766,2024-07-01T00:00:00,2024-07-02T00:00:00,125.0027766
ORD183,Maria,BBQ,Fried,Laguna,GCash,Cancelled,2,254.9865855,2024-07-02T00:00:00,2024-07-03T00:00:00,509.9731711
ORD184,Maria,Burger,Fried,Manila,GCash,Pending,1,333.3686076,2024-07-03T00:00:00,2024-07-04T00:00:00,333.3686076
ORD185,Ana,Chicken,Grilled,Laguna,Cash,Cancelled,4,285.6815796,2024-07-04T00:00:00,2024-07-05T00:00:00,1142.726318
ORD186,Jose,Steak,Fast Food,Laguna,Card,Completed,3,347.6817269,2024-07-05T00:00:00,2024-07-06T00:00:00,1043.045181
ORD187,Juan,Chicken,Fried,Laguna,GCash,Pending,2,292.1177035,2024-07-06T00:00:00,2024-07-07T00:00:00,584.235407
ORD188,Juan,BBQ,Grilled,Cavite,GCash,Pending,3,364.6815382,2024-07-07T00:00:00,2024-07-08T00:00:00,1094.044615
ORD189,Pedro,Pork,Fast Food,Laguna,GCash,Completed,3,187.6504259,2024-07-08T00:00:00,2024-07-09T00:00:00,562.9512776
ORD190,Maria,Burger,Fried,Manila,GCash,Cancelled,2,145.1372749,2024-07-09T00:00:00,2024-07-10T00:00:00,290.2745497
ORD191,Jose,Steak,Fried,Cavite,GCash,Pending,3,338.5735819,2024-07-10T00:00:00,2024-07-11T00:00:00,1015.720746
ORD192,Ana,Burger,Fast Food,Manila,Card,Pending,3,293.8758068,2024-07-11T00:00:00,2024-07-12T00:00:00,881.6274203
ORD193,Maria,BBQ,Fast Food,Laguna,Card,Cancelled,1,110.7470616,2024-07-12T00:00:00,2024-07-13T00:00:00,110.7470616
ORD194,Ana,Burger,Fast Food,Cavite,Card,Completed,3,252.1927542,2024-07-13T00:00:00,2024-07-14T00:00:00,756.5782626
